,molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
0,CHEMBL1159523,CC(=O)OCC(CO[C@H]1O[C@H](CS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]1O)OC(C)=O,2900.0,intermediate
1,CHEMBL3349573,O=S(=O)([O-])O[C@H](CO)[C@@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@@H]1CO,3400000.0,inactive
2,CHEMBL418537,O[C@@H]1CN(Cc2ccccc2)C[C@@H](O)[C@@H](O)[C@@H]1O,6.0,active
3,CHEMBL13922,O[C@H]1CNC[C@H](O)[C@@H](O)[C@@H]1O,29400.0,inactive
4,CHEMBL13924,O[C@@H]1CNC[C@@H](O)[C@@H](O)[C@@H]1O,21.0,active
5,CHEMBL313375,OCC1C(O)C(O)C2OC(Nc3ccccc3)=NC12,2320.0,intermediate
6,CHEMBL313375,OCC1C(O)C(O)C2OC(Nc3ccccc3)=NC12,300000.0,inactive
7,CHEMBL87120,NC1C(O)C(O)C(O)C1O,300000.0,inactive
8,CHEMBL87120,NC1C(O)C(O)C(O)C1O,300000.0,inactive
9,CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,10.3,active
10,CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,300000.0,inactive
11,CHEMBL88408,OCC1(O)C(O)C(O)C2N=C(Nc3ccccc3)OC21,2930.0,intermediate
12,CHEMBL88408,OCC1(O)C(O)C(O)C2N=C(Nc3ccccc3)OC21,300000.0,inactive
13,CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,300000.0,inactive
14,CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,300000.0,inactive
15,CHEMBL87120,NC1C(O)C(O)C(O)C1O,300000.0,inactive
16,CHEMBL87120,NC1C(O)C(O)C(O)C1O,300000.0,inactive
17,CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,300000.0,inactive
18,CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,300000.0,inactive
