molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL1159523,CC(=O)OCC(CO[C@H]1O[C@H](CS(=O)(=O)O)[C@@H](O)[C@H](O)[C@H]1O)OC(C)=O,2900.0,intermediate
CHEMBL3349573,O=S(=O)([O-])O[C@H](CO)[C@@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@@H]1CO,3400000.0,inactive
CHEMBL418537,O[C@@H]1CN(Cc2ccccc2)C[C@@H](O)[C@@H](O)[C@@H]1O,6.0,active
CHEMBL13922,O[C@H]1CNC[C@H](O)[C@@H](O)[C@@H]1O,29400.0,inactive
CHEMBL13924,O[C@@H]1CNC[C@@H](O)[C@@H](O)[C@@H]1O,21.0,active
CHEMBL313375,OCC1C(O)C(O)C2OC(Nc3ccccc3)=NC12,2320.0,intermediate
CHEMBL313375,OCC1C(O)C(O)C2OC(Nc3ccccc3)=NC12,300000.0,inactive
CHEMBL87120,NC1C(O)C(O)C(O)C1O,300000.0,inactive
CHEMBL87120,NC1C(O)C(O)C(O)C1O,300000.0,inactive
CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,10.3,active
CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,300000.0,inactive
CHEMBL88408,OCC1(O)C(O)C(O)C2N=C(Nc3ccccc3)OC21,2930.0,intermediate
CHEMBL88408,OCC1(O)C(O)C(O)C2N=C(Nc3ccccc3)OC21,300000.0,inactive
CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,300000.0,inactive
CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,300000.0,inactive
CHEMBL87120,NC1C(O)C(O)C(O)C1O,300000.0,inactive
CHEMBL87120,NC1C(O)C(O)C(O)C1O,300000.0,inactive
CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,300000.0,inactive
CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,300000.0,inactive
CHEMBL88413,NC1C(O)C(O)C(O)C1(O)CO,162000.0,inactive
CHEMBL88413,NC1C(O)C(O)C(O)C1(O)CO,300000.0,inactive
CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,300000.0,inactive
CHEMBL86865,OC1C(O)C2N=C(Nc3ccccc3)OC2C1O,300000.0,inactive
CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,999.0,active
CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,300000.0,inactive
CHEMBL87120,NC1C(O)C(O)C(O)C1O,300000.0,inactive
CHEMBL87120,NC1C(O)C(O)C(O)C1O,300000.0,inactive
CHEMBL314403,OCC1(O)C(O)C(O)C2(CO)OCC(Nc3ccccc3)=NC12,300000.0,inactive
CHEMBL314403,OCC1(O)C(O)C(O)C2(CO)OCC(Nc3ccccc3)=NC12,118000.0,inactive
CHEMBL88413,NC1C(O)C(O)C(O)C1(O)CO,402.0,active
CHEMBL88413,NC1C(O)C(O)C(O)C1(O)CO,300000.0,inactive
CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,300000.0,inactive
CHEMBL86772,OCC12OC(Nc3ccccc3)=NC1C(O)C(O)C2O,300000.0,inactive
CHEMBL88413,NC1C(O)C(O)C(O)C1(O)CO,1340.0,intermediate
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,91900.0,inactive
CHEMBL414447,COC1CNCC(O)C1O,1000000.0,inactive
CHEMBL110830,O[C@H]1CNC[C@@H](O)[C@@H]1O,1000000.0,inactive
CHEMBL357108,CC1CNCC(O)C1O,1000000.0,inactive
CHEMBL150938,C=C1CNCC(O)C1O,1000000.0,inactive
CHEMBL356023,CCCCN1CC(C)C(O)C(O)C1,1000000.0,inactive
CHEMBL152232,CCCCN1CC(O)C(O)C(O)C1,1000000.0,inactive
CHEMBL1160576,OCC1CCC(NCc2ccccc2)=N1,4000000.0,inactive
CHEMBL1818432,OC[C@@H]1CNC[C@@H](O)[C@@H]1O,86000.0,inactive
CHEMBL2368787,OC[C@@H]1N=C(NCc2ccccc2)[C@@H](O)[C@@H](O)[C@@H]1O,5000.0,intermediate
CHEMBL1160579,OCC1CCCC(NCc2ccccc2)=N1,700000.0,inactive
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,25000.0,inactive
CHEMBL2368788,CO[C@H]1O[C@@H](CNC2=N[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H](O)[C@H]1O,100000.0,inactive
CHEMBL1160578,c1ccc(CNC2=NCCCC2)cc1,3700000.0,inactive
CHEMBL3350914,C[C@@H]1NC[C@@H](CO)[C@@H](O)[C@@H]1O,20.0,active
CHEMBL3350915,OC[C@@H]1CN[C@@H](CO)[C@@H](O)[C@@H]1O,20.0,active
CHEMBL121283,C[Si](C)(C)CCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,2500.0,intermediate
