molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value
CHEMBL2114189,CC[C@H]1NC[C@@H](O)[C@@H]1O,inactive,53000
CHEMBL2114189,CC[C@H]1NC[C@@H](O)[C@@H]1O,inactive,46000
CHEMBL2114189,CC[C@H]1NC[C@@H](O)[C@@H]1O,inactive,110000
CHEMBL2114189,CC[C@H]1NC[C@@H](O)[C@@H]1O,inactive,84000
CHEMBL2114189,CC[C@H]1NC[C@@H](O)[C@@H]1O,inactive,84000
CHEMBL108084,OC[C@H]1NCC[C@@H](O)[C@@H]1O,inactive,1000000
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,inactive,25000
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,inactive,500000
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,inactive,570000
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,inactive,210000
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,inactive,1000000
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,inactive,320000
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,intermediate,1300
CHEMBL307429,OC[C@H]1NC[C@H](O)[C@@H](O)[C@@H]1O,inactive,320000
CHEMBL2115197,CC[C@H]1NC[C@H](O)[C@@H]1O,inactive,800000
CHEMBL2115197,CC[C@H]1NC[C@H](O)[C@@H]1O,inactive,1000000
CHEMBL3349573,O=S(=O)([O-])O[C@H](CO)[C@@H](O)C[S@+]1C[C@@H](O)[C@H](O)[C@@H]1CO,inactive,3400000
CHEMBL313375,OCC1C(O)C(O)C2OC(Nc3ccccc3)=NC12,intermediate,2320
CHEMBL313375,OCC1C(O)C(O)C2OC(Nc3ccccc3)=NC12,inactive,300000
CHEMBL87120,NC1C(O)C(O)C(O)C1O,inactive,300000
CHEMBL87120,NC1C(O)C(O)C(O)C1O,inactive,300000
