activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
Active,18328925,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc(OC)c([C@@H](C)C(OC)OC)cc1OC,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4166047,,CHEMBL4166047,,False,,3043274,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328926,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc(OC)c([C@H](C)C(OC)OC)cc1OC,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4175190,,CHEMBL4175190,,False,,3043275,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328927,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc(OC)c([C@@H](OC)[C@@H](C)O)cc1OC,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4164558,,CHEMBL4164558,,False,,3043276,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328928,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc(OC)c([C@H](OC)[C@H](C)O)cc1OC,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4159205,,CHEMBL4159205,,False,,3043277,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Not Active,18328929,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc(OC)c([C@H](OC)[C@@H](C)O)cc1OC,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4169855,,CHEMBL4169855,,False,,3043278,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328930,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,COc1cc(OC)c([C@@H](OC)[C@H](C)O)cc1OC,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4162593,,CHEMBL4162593,,False,,3043279,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328931,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,CCO[C@H](c1cc(OC)c(OC)cc1OC)[C@@H](C)O,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4173283,,CHEMBL4173283,,False,,3043280,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328932,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,CCO[C@@H](c1cc(OC)c(OC)cc1OC)[C@H](C)O,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4166039,,CHEMBL4166039,,False,,3043281,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328933,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,CCO[C@@H](c1cc(OC)c(OC)cc1OC)[C@@H](C)O,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4176651,,CHEMBL4176651,,False,,3043282,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
Active,18328934,[],CHEMBL4135956,Inhibition of alpha-glucosidase (unknown origin) at 400 uM using p-NPG as substrate pretreated for 10 mins followed by substrate addition measured after 5 mins,B,,,BAO_0000376,BAO_0000224,protein format,CCO[C@H](c1cc(OC)c(OC)cc1OC)[C@H](C)O,,,CHEMBL4130544,J Nat Prod,2017,,CHEMBL4169466,,CHEMBL4169466,,False,,3043283,,1,False,,,Inhibition,%,,,CHEMBL3833502,Homo sapiens,Alpha glucosidase,9606,,,INH,,,,
