molecule_chembl_id,canonical_smiles,standard_value
CHEMBL404271,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,442400.0
CHEMBL4162593,COc1cc(OC)c([C@@H](OC)[C@H](C)O)cc1OC,80600.0
CHEMBL3601736,O=C(C1=C(O)/C(=C/c2ccc(O)c(O)c2)CCC1)c1ccccc1,55.9
CHEMBL3601735,O=C(C1=C(O)/C(=C/c2ccc(O)cc2)CCC1)c1ccccc1,34.9
CHEMBL3601637,O=C(C1=C(O)/C(=C/c2cccc(O)c2)CCC1)c1ccccc1,43.2
CHEMBL50,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,83.6
CHEMBL4208759,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(O)c(O)c1,90.7
CHEMBL4072055,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(O)cc1,53.0
CHEMBL4212935,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1cccc(O)c1,65.1
CHEMBL4209683,COc1cc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)cc(OC)c1OC,16.3
CHEMBL4204199,COc1ccc(OC)c(/C=C2\CCC/C(=C\c3ccccc3)C2=O)c1,43.8
CHEMBL4216636,COc1ccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)c(OC)c1,41.0
CHEMBL4167411,COc1cccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)c1OC,31.8
CHEMBL4162803,COc1ccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)cc1,31.4
CHEMBL4202408,Cc1ccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)cc1,34.1
CHEMBL4217724,Cc1cccc(/C=C2\CCC/C(=C\c3ccccc3)C2=O)c1,47.9
CHEMBL4214990,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(Br)cc1,29.1
CHEMBL4217760,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1cccc(Br)c1,27.2
CHEMBL4205275,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccccc1Br,46.8
CHEMBL4218160,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(Cl)c(Cl)c1,48.4
CHEMBL4211867,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1cccc(Cl)c1Cl,44.0
CHEMBL4203029,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(Cl)cc1,27.6
CHEMBL4208101,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccccc1Cl,43.0
CHEMBL4204411,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(F)c(F)c1,37.8
CHEMBL4205013,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccc(F)cc1,34.0
CHEMBL4216696,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1cccc(F)c1,39.8
CHEMBL4209391,O=C1/C(=C/c2ccccc2)CCC/C1=C\c1ccccc1F,43.0
CHEMBL4203267,O=C(/C=C(O)/C=C/c1cccc(O)c1)c1ccccc1O,40.4
CHEMBL2332173,O=C(/C=C(O)/C=C/c1ccc(O)cc1)c1ccccc1O,20.4
